Srno,uri,yield,calories,totalCO2Emissions,co2EmissionsClass,totalWeight,dietLabels,healthLabels,cautions,cuisineType,mealType,dishType
266,http://www.edamam.com/ontologies/edamam.owl#recipe_e3b1d1c157994347bdc60f5d29ea1935,10,2622,NaN,NaN,1813.702734,,"VEGETARIAN,PESCATARIAN,GLUTEN_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,FISH_FREE,SHELLFISH_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,KOSHER","GLUTEN,WHEAT,SULFITES,FODMAP",south east asian,lunch/dinner,main course
269,http://www.edamam.com/ontologies/edamam.owl#recipe_c2d391056f294e7fab34ab25383b1fbd,4,1022,NaN,NaN,1122.481111,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",american,lunch/dinner,starter
272,http://www.edamam.com/ontologies/edamam.owl#recipe_ba623529f2d140c7a7b368143a35eeaf,6,1335,NaN,NaN,802.7065937,LOW_CARB,"SUGAR_CONSCIOUS,KETO_FRIENDLY,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,south east asian,lunch/dinner,starter
273,http://www.edamam.com/ontologies/edamam.owl#recipe_87b7e11c637d4eda943d47b1a475b10a,4,516,NaN,NaN,516.3283089,LOW_FAT,"LOW_FAT_ABS,SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,indian,lunch/dinner,condiments and sauces
274,http://www.edamam.com/ontologies/edamam.owl#recipe_7e1af75cd46c4da9ba2aab560e81c25e,6,1511,8525.662,F,438.9470591,LOW_SODIUM,"KIDNEY_FRIENDLY,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,KOSHER",SULFITES,american,lunch/dinner,biscuits and cookies
275,http://www.edamam.com/ontologies/edamam.owl#recipe_24c221ef17e341f0b7786d9410dab780,4,520,NaN,NaN,355.6066192,,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",indian,lunch/dinner,condiments and sauces
276,http://www.edamam.com/ontologies/edamam.owl#recipe_3be86e61b96245b59a0b08bf051c2453,2,28,15.2136225,A+,605.2870128,"LOW_FAT,LOW_SODIUM","FAT_FREE,LOW_FAT_ABS,SUGAR_CONSCIOUS,LOW_SUGAR,LOW_POTASSIUM,KIDNEY_FRIENDLY,KETO_FRIENDLY,VEGAN,VEGETARIAN,PESCATARIAN,PALEO,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,FODMAP_FREE,KOSHER",SULFITES,indian,lunch/dinner,drinks
280,http://www.edamam.com/ontologies/edamam.owl#recipe_a56350931a8548f48decbfdfecdad31a,2,341,NaN,NaN,531.8321768,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,south east asian,lunch/dinner,condiments and sauces
282,http://www.edamam.com/ontologies/edamam.owl#recipe_46e4f27d35f24d2b83efaee0e4a71a9e,4,694,NaN,NaN,805.7,LOW_SODIUM,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","TREE_NUTS,FODMAP",american,lunch/dinner,main course
285,http://www.edamam.com/ontologies/edamam.owl#recipe_a06ed87ac9114a14a708d3b28bd3452d,4,833,1897.887414,D,404.1091387,HIGH_FIBER,"VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,mediterranean,lunch/dinner,
287,http://www.edamam.com/ontologies/edamam.owl#recipe_c5f609993e254421897f9cde9a59c66b,14,4061,8266.267,D,1496.6,LOW_SODIUM,"KIDNEY_FRIENDLY,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER","SULFITES,FODMAP",american,lunch/dinner,biscuits and cookies
288,http://www.edamam.com/ontologies/edamam.owl#recipe_58db684ce5834a55aac775f1280f658c,14,3912,22020.66083,F,1220.445264,LOW_CARB,"SUGAR_CONSCIOUS,LOW_POTASSIUM,KIDNEY_FRIENDLY,KETO_FRIENDLY,VEGETARIAN,PESCATARIAN,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,SULPHITE_FREE,KOSHER",SULFITES,indian,lunch/dinner,condiments and sauces
290,http://www.edamam.com/ontologies/edamam.owl#recipe_386e5367cf9c4c8288d05356ecf6dc53,6,1258,2767.882714,D,1038.85,LOW_SODIUM,"VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",SULFITES,indian,lunch/dinner,desserts
291,http://www.edamam.com/ontologies/edamam.owl#recipe_13a8bf5145194840a44cb7ff7798ba18,4,445,626.4757474,C,496.0945475,,"LOW_FAT_ABS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,indian,lunch/dinner,condiments and sauces
293,http://www.edamam.com/ontologies/edamam.owl#recipe_3fe296e11bb447dc9e63abd2195198c8,4,795,355.567135,B,362.0565317,,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,mediterranean,lunch/dinner,starter
294,http://www.edamam.com/ontologies/edamam.owl#recipe_c613d701372242bf9041af893c19df32,4,430,966.1374594,C,837.0958351,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,mexican,lunch/dinner,starter
295,http://www.edamam.com/ontologies/edamam.owl#recipe_3645e1cecf5c4cab9e2875373756b4e2,6,1493,1554.127262,C,1112.078221,HIGH_FIBER,"VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,indian,lunch/dinner,
297,http://www.edamam.com/ontologies/edamam.owl#recipe_e7c7c40c71da4fa9bc57a960f7d79c86,2,255,332.695318,C,674.1554968,"HIGH_FIBER,LOW_FAT","LOW_FAT_ABS,VEGAN,VEGETARIAN,PESCATARIAN,PALEO,SPECIFIC_CARBS,MEDITERRANEAN,DASH,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,french,lunch/dinner,starter
299,http://www.edamam.com/ontologies/edamam.owl#recipe_d276f1444b684377a7a71138ac3fa9ea,4,620,1739.255425,D,784.7592701,HIGH_FIBER,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,KOSHER","GLUTEN,WHEAT",mediterranean,lunch/dinner,starter
302,http://www.edamam.com/ontologies/edamam.owl#recipe_c4d60c683bc64c7892b1b479cc24150d,4,226,204.00488,A,1451.286279,"LOW_FAT,LOW_SODIUM","FAT_FREE,LOW_FAT_ABS,VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",indian,lunch/dinner,drinks
304,http://www.edamam.com/ontologies/edamam.owl#recipe_b5063ec042f94de6a7569f632b57d537,6,1038,1041.081703,C,729.7147855,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",indian,lunch/dinner,starter
314,http://www.edamam.com/ontologies/edamam.owl#recipe_6d443592c809439c903ff8fafb3de381,6,1265,NaN,NaN,564.4710515,LOW_FAT,"LOW_FAT_ABS,SUGAR_CONSCIOUS,LOW_POTASSIUM,KIDNEY_FRIENDLY,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",indian,lunch/dinner,bread
315,http://www.edamam.com/ontologies/edamam.owl#recipe_dc0b01a5a9c54b29b7c4e91ef278b52a,2,103,NaN,NaN,185.0577002,,"LOW_FAT_ABS,SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,MEDITERRANEAN,DASH,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,indian,lunch/dinner,starter
316,http://www.edamam.com/ontologies/edamam.owl#recipe_002bdc89fd4c434ba6d97d3ec1566fe9,4,485,629.575901,C,830.3260877,,"VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",SULFITES,french,lunch/dinner,drinks
317,http://www.edamam.com/ontologies/edamam.owl#recipe_417606a17c7b43f4a8b03e73a8b5b31e,4,783,NaN,NaN,715.8316952,HIGH_FIBER,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",american,lunch/dinner,desserts
319,http://www.edamam.com/ontologies/edamam.owl#recipe_63de4f32ad394a528731a3ccb6c3ff02,6,999,1200.615593,C,566.8242001,,"VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",,indian,lunch/dinner,main course
321,http://www.edamam.com/ontologies/edamam.owl#recipe_a8a5f95c8a864fb6a521c21c5c3a206d,6,1134,NaN,NaN,984.1034159,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,middle eastern,lunch/dinner,
322,http://www.edamam.com/ontologies/edamam.owl#recipe_08381498e4664142bc006b8ad936499e,6,1273,531.903553,B,339.55015,LOW_SODIUM,"LOW_POTASSIUM,KIDNEY_FRIENDLY,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,KOSHER",,mediterranean,lunch/dinner,
323,http://www.edamam.com/ontologies/edamam.owl#recipe_28bea81c5d884936b650f8035b9e61a5,6,1328,3411.874837,D,833.9714501,LOW_CARB,"SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,indian,lunch/dinner,starter
325,http://www.edamam.com/ontologies/edamam.owl#recipe_84cc083e64b94ad0a872bcea917b6104,2,135,322.998278,C,579.1098063,"LOW_FAT,LOW_SODIUM","LOW_FAT_ABS,LOW_POTASSIUM,KIDNEY_FRIENDLY,VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",SULFITES,american,breakfast,drinks
327,http://www.edamam.com/ontologies/edamam.owl#recipe_2b551db99fd1493f9c44c872e8f16563,10,2332,6851.240287,E,2339.355385,"BALANCED,LOW_SODIUM","VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",SULFITES,indian,breakfast,drinks
328,http://www.edamam.com/ontologies/edamam.owl#recipe_a6bca5c7fdd1428590e82676100fdeea,6,924,5254.653384,E,526.2530181,LOW_CARB,"SUGAR_CONSCIOUS,KIDNEY_FRIENDLY,KETO_FRIENDLY,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,french,lunch/dinner,salad
329,http://www.edamam.com/ontologies/edamam.owl#recipe_77a97090a56543d8963cf368adae7c17,6,924,5254.653384,E,526.2530181,LOW_CARB,"SUGAR_CONSCIOUS,KIDNEY_FRIENDLY,KETO_FRIENDLY,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,french,lunch/dinner,salad
330,http://www.edamam.com/ontologies/edamam.owl#recipe_08039a7dbb444c0fb331fb78a10a671e,6,889,8556.192529,F,959.416978,LOW_CARB,"SUGAR_CONSCIOUS,KETO_FRIENDLY,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE",SULFITES,american,lunch/dinner,starter
332,http://www.edamam.com/ontologies/edamam.owl#recipe_3828d86280e94bb988992e69f05a7786,4,719,5261.006344,F,1055.859344,,"VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,FODMAP_FREE,KOSHER",SULFITES,middle eastern,lunch/dinner,soup
334,http://www.edamam.com/ontologies/edamam.owl#recipe_0ad4e8691f91489fa2af01f0a63e3078,8,1525,13115.38161,F,1043.209807,LOW_CARB,"SUGAR_CONSCIOUS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,mediterranean,lunch/dinner,starter
338,http://www.edamam.com/ontologies/edamam.owl#recipe_ead9f5457634451eb8812369f9a8ade2,4,769,3099.224315,E,781.5580385,"BALANCED,HIGH_FIBER","SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,french,lunch/dinner,starter
339,http://www.edamam.com/ontologies/edamam.owl#recipe_d17e89e6faad449fa48b90f9c5278572,8,2228,757.8036,B,468,LOW_SODIUM,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",TREE_NUTS,indian,lunch/dinner,biscuits and cookies
341,http://www.edamam.com/ontologies/edamam.owl#recipe_36f9ccf17812414f8cfb5eebabafb601,4,787,NaN,NaN,331.1942241,"HIGH_FIBER,LOW_FAT","LOW_FAT_ABS,SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DASH,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",indian,lunch/dinner,starter
