Srno,uri,yield,calories,totalCO2Emissions,co2EmissionsClass,totalWeight,dietLabels,healthLabels,cautions,cuisineType,mealType,dishType
20,http://www.edamam.com/ontologies/edamam.owl#recipe_e9e8f3b434d940cfa5dc5d34981d1176,6,1061,1544.511989,C,1840.039507,"HIGH_FIBER,LOW_SODIUM","VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,french,lunch/dinner,main course
24,http://www.edamam.com/ontologies/edamam.owl#recipe_1b99ff495cab40428284686ce314edf8,6,1355,NaN,NaN,886.5576453,LOW_CARB,"SUGAR_CONSCIOUS,KETO_FRIENDLY,SPECIFIC_CARBS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,FODMAP_FREE,KOSHER","TREE_NUTS,SULFITES,FODMAP",mediterranean,lunch/dinner,main course
42,http://www.edamam.com/ontologies/edamam.owl#recipe_a465826270da4d29940035ba3521d84e,6,1215,NaN,NaN,703.8061132,LOW_CARB,"SUGAR_CONSCIOUS,KETO_FRIENDLY,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE","TREE_NUTS,SULFITES,FODMAP",indian,lunch/dinner,main course
43,http://www.edamam.com/ontologies/edamam.owl#recipe_f7630375da0e485689fbf2456cdd645e,4,643,NaN,NaN,847.4140184,HIGH_FIBER,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","TREE_NUTS,SULFITES,FODMAP",american,lunch/dinner,starter
44,http://www.edamam.com/ontologies/edamam.owl#recipe_84727ddbe1894af3afe340267f07f609,4,588,1264.460434,D,981.5349574,HIGH_FIBER,"VEGETARIAN,PESCATARIAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",,indian,lunch/dinner,starter
45,http://www.edamam.com/ontologies/edamam.owl#recipe_a35cd1570b86474990239ccf55becc12,2,43,198.421878,B,541.1098063,"BALANCED,LOW_SODIUM","LOW_FAT_ABS,SUGAR_CONSCIOUS,LOW_POTASSIUM,KIDNEY_FRIENDLY,KETO_FRIENDLY,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",SULFITES,indian,lunch/dinner,drinks
46,http://www.edamam.com/ontologies/edamam.owl#recipe_2e928e68b7ce4d239c96bd8f1a9df452,2,333,NaN,NaN,691.0162115,,"VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",south east asian,lunch/dinner,starter
47,http://www.edamam.com/ontologies/edamam.owl#recipe_06284c473f11495b83b1d8ef89166492,6,1066,NaN,NaN,701.7441182,,"VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","TREE_NUTS,SULFITES,FODMAP",american,lunch/dinner,
52,http://www.edamam.com/ontologies/edamam.owl#recipe_49790082da354fda8e0a44dc4e2863a7,4,598,2989.494597,E,1430.378251,"BALANCED,HIGH_FIBER","VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",american,lunch/dinner,starter
54,http://www.edamam.com/ontologies/edamam.owl#recipe_c878cd44d89641658f60efaa00c96a99,2,322,541.0292471,C,560.7968238,"LOW_FAT,LOW_SODIUM","LOW_FAT_ABS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,KOSHER",SULFITES,american,breakfast,cereals
