Srno,ENERC_KCAL,ENERC_KCAL%,FAT,FAT%,FASAT,FASAT%,PROCNT,PROCNT%,CHOLE,CHOLE%,CHOCDF,CHOCDF%,FIBTG,FIBTG%,FATRN,FAMS,FAPU,SUGAR,CHOCDF.net,NA,NA%,CA,CA%,FE,FE%,ZN,ZN%,VITC,VITC%,THIA,THIA%,NIA,NIA%,VITB6A,VITB6A%,MG,MG%,K,K%,P,P%,VITA_RAE,VITA_RAE%,RIBF,RIBF%,FOLDFE,FOLDFE%,VITB12,VITB12%,VITD,VITD%,TOCPHA,TOCPHA%,VITK1,VITK1%,WATER,FOLFD,FOLAC
1142,285.93425,14.2967125,17.14213938,26.37252212,12.15655563,60.78277813,6.552524375,13.10504875,0,0,35.77934375,11.92644792,11.2345125,44.93805,0,2.887344375,0.868369375,13.77401188,24.54483125,30.3589375,1.264955729,162.082125,16.2082125,6.03053,33.50294444,1.58267625,14.38796591,137.931825,153.2575833,0.240504563,20.04204688,2.17231875,13.57699219,0.653744375,50.28802885,103.65375,24.67946429,775.847875,16.5074016,193.6420625,27.66315179,52.67225,5.852472222,0.168971438,12.99780288,37.304125,9.32603125,0,0,0,0,0.9181375,6.120916667,14.515275,12.0960625,111.3273619,37.304125,0.5634
1143,242.325,12.11625,14.71088,22.63212308,8.121995,40.609975,4.35669,8.71338,32.768,10.92266667,29.478,9.826,5.1806,20.7224,0,4.80665,0.81493,14.57055,24.2974,1608.589239,67.02455165,155.8152983,15.58152983,6.019594395,33.44219108,0.826843988,7.516763527,274.4989,304.9987778,0.237863,19.82191667,1.875274,11.7204625,0.348748,26.82676923,83.99255167,19.99822659,649.7325308,13.8240964,116.127,16.58957143,206.415,22.935,0.169189,13.01453846,30.815,7.70375,0.00128,0.053333333,0,0,1.33441,8.896066667,26.5951,22.16258333,638.2539219,30.815,3.0987
1144,1185.226,59.2613,33.14416,50.99101538,5.2852575,26.4262875,37.428075,74.85615,0,0,206.1609,68.7203,32.24835,128.9934,0.0387,13.1428375,11.900225,18.7634,173.91255,1735.485207,72.31188363,951.4939268,95.14939268,64.12321388,356.2400771,7.523157416,68.39234014,349.65995,388.5110556,1.356605,113.0504167,4.49955,28.1221875,0.8509,65.45384615,394.8975448,94.02322494,1809.270064,38.49510774,1184.603,169.229,1895.3895,210.5988333,0.3430945,26.39188462,245.0225,61.255625,0,0,0,0,8.233905,54.8927,31.4728,26.22733333,459.9123778,245.0225,0.5634
1145,801.2267778,40.06133889,31.16486111,47.94594017,4.317207556,21.58603778,17.69036444,35.38072889,0,0,127.9516044,42.65053481,35.39531111,141.5812444,0.00102,13.40214111,11.13042711,63.07148333,92.55629333,180.9656667,7.540236111,346.7638889,34.67638889,7.387132222,41.03962346,3.199285556,29.08441414,296.0913667,328.9904074,0.870150667,72.51255556,8.212926667,51.33079167,1.884001111,144.9231624,256.9678889,61.18283069,3679.283556,78.28262884,456.6347778,65.23353968,6555.0751,728.3416778,0.770592889,59.27637607,375.3818889,93.84547222,0,0,0,0,16.13341889,107.5561259,216.6405778,180.5338148,1349.346887,375.3818889,0
1148,276.1931875,13.80965938,17.30027,26.6158,11.0804115,55.4020575,6.9568325,13.913665,32.768,10.92266667,32.13444083,10.71148028,8.017716667,32.07086667,0.00213,3.99598875,0.99735,14.64247417,24.11672417,82.3095,3.4295625,72.769625,7.2769625,5.116045,28.42247222,1.087405,9.8855,401.08675,445.6519444,0.24248875,20.20739583,2.6155915,16.34744687,0.84285325,64.83486538,74.7985,17.80916667,932.87225,19.84834574,150.9922083,21.57031548,227.81425,25.31269444,0.2560445,19.69573077,89.2695,22.317375,0.00128,0.053333333,0,0,1.964125,13.09416667,45.0783,37.56525,302.41917,89.2695,0
1149,1404.60625,70.2303125,27.06191271,41.63371186,7.419637292,37.09818646,54.30994104,108.6198821,21.86666667,7.288888889,299.3387938,99.77959792,150.3948625,601.57945,0.00042,10.73821121,5.113148875,155.9819469,148.9439313,10641.49423,443.395593,859.0155988,85.90155988,22.48312227,124.9062349,10.21861143,92.89646752,316.714075,351.9045278,1.994580979,166.2150816,30.75106,192.194125,4.452611292,342.5085609,815.8466072,194.2491922,10982.42229,233.6685593,1354.776813,193.5395446,506.0169,56.2241,1.861313521,143.1779631,996.627125,249.1567813,0.000854167,0.035590278,0,0,14.45258917,96.35059444,179.8453583,149.8711319,4159.658129,996.627125,3.3804
1150,214.7174461,10.73587231,7.295893333,11.22445128,1.971083579,9.855417893,6.643241667,13.28648333,0,0,34.90305,11.63435,8.546933333,34.18773333,0.018378867,3.24663086,1.662758853,19.05270833,26.35611667,778.12015,32.42167292,96.94775535,9.694775535,4.306540594,23.92522552,1.237971897,11.25428998,230.9222667,256.5802963,0.1972715,16.43929167,1.703416667,10.64635417,0.465566667,35.81282051,79.33638564,18.88961563,1014.672418,21.58877486,152.6025,21.80035714,63.4805,7.053388889,0.184979333,14.22917949,236.4833333,59.12083333,0,0,0,0,1.626334333,10.84222889,21.49127529,17.90939608,281.0197488,236.4833333,2.2536
1152,1240.28125,62.0140625,32.75662708,50.3948109,18.81868417,94.09342083,26.36765417,52.73530833,110.4666667,36.82222222,217.5313,72.51043333,0.982175,3.9287,0,9.945005083,2.271936875,215.2038625,216.549125,395.6455833,16.48523264,897.2492917,89.72492917,1.05305,5.850277778,3.150318542,28.63925947,8.9011,9.890111111,0.352497604,29.37480035,0.772421562,4.827634766,0.302728854,23.28683494,93.294875,22.21306548,1249.759271,26.59062278,824.5868125,117.7981161,286.7804375,31.86449306,1.323385771,101.7989054,39.071625,9.76790625,1.455213542,60.63389757,0.99,6.6,0.780654167,5.204361111,2.073645833,1.728038194,108.5057687,39.071625,0
1153,1760.948,88.0474,46.07681,70.8874,7.5276,37.638,66.7859,133.5718,0,0,305.7642,101.9214,63.1801,252.7204,0.00084,15.119565,12.55669,25.73308,242.5841,2601.281928,108.386747,549.3383927,54.93383927,68.2291529,379.0508495,10.42307664,94.75524215,391.1654,434.6282222,1.787016,148.918,17.17751,107.3594375,3.221635,247.8180769,725.8597664,172.8237539,3696.546131,78.64991768,1331.395,190.1992857,939.897,104.433,1.303426,100.2635385,268.088,67.022,0.028,1.166666667,0.14,0.933333333,14.60325,97.355,44.5258,37.10483333,687.1595533,268.088,0
1154,384.558,19.2279,14.84136,22.83286154,1.86749,9.33745,11.5419,23.0838,0,0,57.2834,19.09446667,10.2104,40.8416,0,6.364975,5.417955,23.52305,47.073,1007.979306,41.99913775,126.6534379,12.66534379,4.795463521,26.64146401,1.699610158,15.45100144,214.4902,238.3224444,0.393318,32.7765,2.69908,16.86925,1.138875,87.60576923,98.07510158,23.35121466,1078.850813,22.95427261,229.406,32.77228571,73.887,8.209666667,0.261347,20.10361538,222.3,55.575,0,0,0,0,5.98908,39.9272,23.1889,19.32408333,346.1046803,222.3,0.5634
1155,995.164,49.7582,6.825215,10.50033077,0.790055,3.950275,63.595175,127.19035,0,0,181.08095,60.36031667,32.1247,128.4988,0,1.441966,3.121017,23.627685,148.95625,1216.80741,50.70030875,221.1434589,22.11434589,19.48689631,108.2605351,8.526161912,77.51056284,399.9667,444.4074444,2.1314625,177.621875,9.38959,58.6849375,2.689449,206.8806923,207.7050191,49.45357598,2606.675153,55.46117347,800.6035,114.3719286,150.5499,16.72776667,0.7690045,59.15419231,1261.668,315.417,0,0,0,0,3.33259,22.21726667,61.0444,50.87033333,257.8564388,1261.668,5.634
1157,2290.955778,114.5477889,38.13410111,58.66784786,12.16553006,60.82765028,104.7936494,209.5872989,152.368,50.78933333,399.7963544,133.2654515,54.37031111,217.4812444,0.06194,12.59138311,5.576149111,35.71068333,345.4260433,4623.33619,192.6390079,484.013563,48.4013563,34.42465939,191.2481077,13.09717172,119.0651975,350.9646167,389.9606852,3.234126667,269.5105556,104.5795357,653.6220979,3.597777611,276.7521239,544.7709917,129.707379,4733.97579,100.7228891,1863.728278,266.2468968,2028.13425,225.34825,1.391694389,107.0534145,1124.533889,281.1334722,0.69028,28.76166667,0.13,0.866666667,5.237308889,34.91539259,106.4098778,88.67489815,1401.709545,1124.533889,0.5634
